open,high,low,close,h-l,o-c,ma10,ma50,stddev,activo,datetime,ema_rapida,ema_lenta,atr,rsi,future_close,direccion,ema_35,ema_50,adx
1.14939,1.15243,1.14899,1.15229,0.0034400000000001,-0.0029000000000001,1.1487,1.1505732,0.0019850720669753,EURUSD,2025-06-20 07:00:00,1.150173391116564,1.149176425747931,0.0034743209767752,54.792500032273104,1.15125,SELL,1.1503014723636604,1.149768266154214,18.313504209455054
1.15227,1.15331,1.15108,1.15271,0.0022299999999999,-0.0004399999999999,1.1488999999999998,1.1507792,0.0022877596998852,EURUSD,2025-06-20 11:00:00,1.150403991924149,1.1493149972872283,0.0033854409070055,55.717391218071135,1.1536,BUY,1.1504352794545682,1.1498836282658134,17.797334064844982
1.15275,1.15302,1.15098,1.15231,0.00204,0.0004399999999999,1.149098,1.1510262,0.0025010166821552,EURUSD,2025-06-20 15:00:00,1.15057726538559,1.1494324483740035,0.0032893379850765,54.5722800935339,1.15137,SELL,1.150539430595981,1.1499787800985264,17.27549876630134
1.15226,1.15355,1.15057,1.15125,0.0029799999999999,0.0010099999999999,1.149423,1.1512346,0.0025531029051759,EURUSD,2025-06-20 19:00:00,1.1506384230778093,1.1495037249083564,0.0032672424147139,51.54880747364493,1.15233,BUY,1.150578906673982,1.1500286318593684,16.980744658086543
1.15128,1.15375,1.14948,1.1536,0.0042699999999999,-0.0023199999999998,1.1499719999999998,1.151442,0.0028161115823804,EURUSD,2025-06-20 23:00:00,1.150907657343463,1.1496643631472443,0.0033388679565201,57.20902133097137,1.14894,SELL,1.150746745192094,1.1501686855119422,16.20841418389558
1.15361,1.15443,1.1513,1.15137,0.00313,0.00224,1.1504169999999998,1.1516228,0.0026253848395096,EURUSD,2025-06-21 03:00:00,1.150949688494057,1.1497312508669602,0.0033239488167686,51.107543212287204,1.14907,SELL,1.1507813704592,1.150215795884023,15.758001913349403
1.15136,1.15233,1.15136,1.15233,0.0009700000000001,-0.0009700000000001,1.150883,1.1518198,0.00249389944553,EURUSD,2025-06-21 07:00:00,1.1510751713582337,1.1498331625976677,0.0031558096155709,53.411125911199484,1.14817,SELL,1.150867405433689,1.1502987058493552,15.339761947842238
1.14901,1.15076,1.14807,1.14894,0.00269,7.00000000000145e-05,1.151,1.1519566,0.0023552164326054,EURUSD,2025-06-23 07:00:00,1.1508810648711214,1.149798136613445,0.0032346803573158,45.29537109549263,1.14671,SELL,1.1507603273540397,1.1502454232670276,14.969840545562326
1.14895,1.15071,1.14719,1.14907,0.0035199999999999,-0.0001200000000001,1.151341,1.1521066,0.001631968477355,EURUSD,2025-06-23 11:00:00,1.1507164226101103,1.1497695822364475,0.0032550603317933,45.63651125026816,1.15448,BUY,1.1506664202788153,1.150199328236948,14.946932174777706
1.14909,1.15215,1.148,1.14817,0.00415,0.00092,1.151204,1.152207,0.0018437232860506,EURUSD,2025-06-23 15:00:00,1.1504849296455548,1.1497068535212929,0.003318984593808,43.60897563494818,1.15776,BUY,1.1505277302633254,1.15011974673746,14.263023974366083
1.14818,1.14834,1.14533,1.14671,0.0030099999999999,0.00147,1.150646,1.1522198,0.0022729530473651,EURUSD,2025-06-23 19:00:00,1.1501417542232315,1.1495893298537911,0.0032969142656789,40.46801168818437,1.15993,BUY,1.150315634137585,1.1499860311791283,14.568145031896677
1.14675,1.1558,1.14645,1.15448,0.0093499999999999,-0.00773,1.1508230000000002,1.1523291999999998,0.0025082754146078,EURUSD,2025-06-23 23:00:00,1.1505361402029377,1.149781120839917,0.0037292775324161,57.862415525862616,1.16064,BUY,1.1505469877966081,1.150162265250535,14.701752517460909
1.1545,1.1582,1.15403,1.15776,0.00417,-0.0032599999999998,1.1513680000000002,1.1525092,0.0033260513793005,EURUSD,2025-06-24 03:00:00,1.1511928547299433,1.150094018061881,0.0037607577086721,62.803263662018146,1.15926,BUY,1.1509477106967965,1.150460215632867,15.379366667051787
1.15766,1.16093,1.1571,1.15993,0.00383,-0.0022699999999999,1.1522359999999998,1.1526624,0.0042859361741463,EURUSD,2025-06-24 07:00:00,1.1519871406635849,1.150479742843768,0.0037657035866241,65.67114855390211,1.16007,BUY,1.1514467267691968,1.1508315797256958,16.56102660654798
1.15993,1.16147,1.15864,1.16064,0.0028300000000001,-0.0007099999999999,1.15294,1.1528442,0.0050457220604267,EURUSD,2025-06-24 11:00:00,1.1527737642396223,1.1508781843008753,0.0036988676161509,66.57909123645405,1.16241,BUY,1.151957464170908,1.1512162236580215,17.76170982258025
1.16063,1.16228,1.15796,1.15926,0.0043199999999998,0.00137,1.153729,1.152939,0.0053788277326701,EURUSD,2025-06-24 15:00:00,1.1533634220360205,1.1512068829557431,0.0037432342149973,63.0865514025078,1.16094,BUY,1.1523631606058575,1.151531665867511,19.034719826191917
1.15921,1.16186,1.15915,1.16007,0.0027099999999999,-0.0008599999999998,1.1545029999999998,1.1529204,0.0057023037254902,EURUSD,2025-06-24 19:00:00,1.1539731109418363,1.151554456173165,0.0036694317710689,64.27126074343943,1.16255,BUY,1.1527913183499767,1.1518665025001578,20.21680054383132
1.16007,1.16422,1.15818,1.16241,0.00604,-0.00234,1.1558499999999998,1.1530194,0.0058316759550239,EURUSD,2025-06-24 23:00:00,1.154740100856215,1.1519801637742173,0.0038387580731354,67.51486179678926,1.1614,SELL,1.153325689552756,1.1522799729903477,21.778779558700926
1.1624,1.1633,1.16073,1.16094,0.0025699999999999,0.00146,1.157037,1.1530688,0.0054967263995098,EURUSD,2025-06-25 03:00:00,1.1553037280511045,1.1523315299007186,0.0037481324964829,63.60817294664811,1.16099,BUY,1.153748706799825,1.152619581892687,23.229188643936986
1.16105,1.16271,1.16025,1.16255,0.0024599999999999,-0.0015,1.158475,1.153202,0.0047494683912995,EURUSD,2025-06-25 07:00:00,1.1559624800464583,1.1527322542183374,0.0036561230324484,65.93323004424352,1.15929,SELL,1.154237667533168,1.153009010053758,24.340023877730655
