open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
176.87,178.83,175.21,178.54,176.98,176.9162745098039,100.0,4.737999999999998,SOLANA,2025-05-22 04:00:00
178.54,180.85,177.19,178.12,177.0676923076923,176.9634794309881,78.88689407540443,4.594266666666664,SOLANA,2025-05-22 08:00:00
178.1,179.97,177.02,179.06,177.22094674556214,177.04569592389052,86.00743195006349,4.375031111111108,SOLANA,2025-05-22 12:00:00
179.09,180.44,177.61,177.96,177.27779699590351,177.08155098569873,60.35521142431425,4.169026962962958,SOLANA,2025-05-22 16:00:00
177.95,180.11,177.32,179.72,177.4656587654494,177.18501957449487,73.81311661736413,3.9851567012345663,SOLANA,2025-05-22 20:00:00
179.73,185.54,179.3,185.01,178.04599270656868,177.49188155196566,87.52293172001886,4.2858024744032885,SOLANA,2025-05-23 00:00:00
185.01,185.34,179.86,182.57,178.39399326760187,177.69102345188858,69.45956561526845,4.445028811149515,SOLANA,2025-05-23 04:00:00
182.6,187.73,177.14,177.94,178.35907070855558,177.70078723808902,48.8550590619084,5.264358302996247,SOLANA,2025-05-23 08:00:00
177.95,183.82,173.27,180.73,178.54144988482054,177.81957989541888,57.111277285539984,5.969110529263412,SOLANA,2025-05-23 12:00:00
180.72,182.25,178.37,179.18,178.59056912444973,177.87292970344168,52.08123184850698,5.6905624586949575,SOLANA,2025-05-23 16:00:00
179.19,179.31,173.31,174.03,178.23975611487668,177.7222265778165,39.60113659755733,5.7318207975356295,SOLANA,2025-05-23 20:00:00
174.02,176.19,172.66,175.18,178.00439025988618,177.62253141790214,42.89199313482775,5.438244691197546,SOLANA,2025-05-24 00:00:00
175.18,176.44,173.52,173.98,177.69482177835647,177.47968704857263,40.41733104938084,5.102478732371205,SOLANA,2025-05-24 04:00:00
173.98,178.37,173.3,176.94,177.63675856463675,177.4585228505894,48.33553623040235,5.098148234721711,SOLANA,2025-05-24 08:00:00
176.95,177.19,175.15,176.38,177.5400848288955,177.4162278368408,47.061294949481855,4.690395136758815,SOLANA,2025-05-24 12:00:00
176.38,177.74,175.37,177.2,177.513924457442,177.40774831382743,49.17419944092547,4.3810091185243065,SOLANA,2025-05-24 16:00:00
177.2,177.99,175.4,175.96,177.39439180686955,177.35097387014793,46.17304993196547,4.142207902721066,SOLANA,2025-05-24 20:00:00
175.96,176.96,170.3,173.71,177.11097705249497,177.20819058112252,41.25318344400597,4.47791351569159,SOLANA,2025-05-25 00:00:00
173.71,174.48,171.94,172.4,176.74859420230305,177.01963408774517,38.669681399187404,4.21952504693271,SOLANA,2025-05-25 04:00:00
172.39,172.42,170.2,172.01,176.38408695597207,176.82317784901008,37.908538195084205,3.952921707341682,SOLANA,2025-05-25 08:00:00
172.02,172.7,169.2,170.36,175.92069565166653,176.56971989414694,34.788660904989655,3.8925321463627913,SOLANA,2025-05-25 12:00:00
170.36,172.89,169.24,172.59,175.66448829384603,176.41365244731767,41.76446315405397,3.8601945268477498,SOLANA,2025-05-25 16:00:00
172.58,175.99,171.0,175.8,175.6749122712425,176.3895876454621,50.047884953731305,4.010835256601385,SOLANA,2025-05-25 20:00:00
175.81,177.9,175.22,177.11,175.78530363499308,176.41783911034594,52.98683452253521,3.833390555721201,SOLANA,2025-05-26 00:00:00
177.11,179.12,176.68,178.28,175.97720335537824,176.4908650275873,55.50480490259329,3.6476051482917073,SOLANA,2025-05-26 04:00:00
178.27,178.48,176.5,178.0,176.13280309727224,176.55004679121132,54.749078166105726,3.425257795186145,SOLANA,2025-05-26 08:00:00
178.0,178.88,175.99,177.54,176.2410490128667,176.58886848567363,53.46125034726148,3.3538900891613244,SOLANA,2025-05-26 12:00:00
177.57,178.14,173.55,174.14,176.0794298580308,176.49283442741194,45.03005360437561,3.518704743939811,SOLANA,2025-05-26 16:00:00
174.13,176.09,173.71,174.97,175.99408909972075,176.43311543025854,47.21840219528244,3.3668774447478356,SOLANA,2025-05-26 20:00:00
