open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
108988.71,109159.59,107530.02,107794.01,109857.04400435691,110611.74541273733,33.51229879746862,1480.6858372749587,BTC,2025-05-24 20:00:00
107794.01,108306.58,107241.34,108134.39,109724.53215786793,110514.59422008098,36.80440348018134,1425.2930589716316,BTC,2025-05-25 00:00:00
108134.39,108327.68,107457.71,107713.06,109569.80353033963,110404.73013301898,34.52555219304813,1351.249984442079,BTC,2025-05-25 04:00:00
107707.38,107725.33,106750.0,107286.33,109394.15172031352,110282.43993172412,32.34136421274509,1301.1273198498022,BTC,2025-05-25 08:00:00
107286.33,107802.0,106650.0,107001.2,109210.07851105864,110153.76385597023,30.933214427297727,1281.243677203162,BTC,2025-05-25 12:00:00
107002.0,107970.82,106632.35,107745.28,109097.40170251568,110059.31350867728,38.46308697071496,1288.8738535760738,BTC,2025-05-25 16:00:00
107742.09,109371.04,107200.08,109048.68,109093.65387924525,110019.6808220625,48.96020481225792,1406.4853397659297,BTC,2025-05-25 20:00:00
109048.41,109905.22,108706.04,109682.34,109138.93742699562,110006.45177021691,53.14481743263917,1378.84462779714,BTC,2025-05-26 00:00:00
109686.8,110289.59,109418.5,110156.05,109217.17685568826,110012.3183674633,56.04606658511595,1311.144010757521,BTC,2025-05-26 04:00:00
110156.05,110258.24,109605.4,109843.01,109265.31786678916,110005.67882364121,53.68060051359337,1223.3701426565199,BTC,2025-05-26 08:00:00
109838.57,110474.41,109509.63,110047.43,109325.48033857462,110007.3161246749,55.015781076221046,1188.8914569689837,BTC,2025-05-26 12:00:00
110047.52,110467.81,108884.34,109157.59,109312.56569714581,109973.9935315504,48.46652213924632,1241.5019293731193,BTC,2025-05-26 16:00:00
109157.58,109923.4,108970.05,109464.32,109324.23910505768,109954.0063342347,50.64746052590163,1203.081672123369,BTC,2025-05-26 20:00:00
109464.33,109718.96,107536.41,108925.85,109293.59378928403,109913.68647799021,46.89536565204164,1333.6774491735869,BTC,2025-05-27 00:00:00
108925.86,109662.0,108565.62,109566.99,109314.62426703141,109900.09053767688,51.50231259363512,1302.037789283776,BTC,2025-05-27 04:00:00
109576.79,109950.0,109465.85,109629.01,109338.80778495208,109889.45992835621,51.93668088915218,1192.9860840459385,BTC,2025-05-27 08:00:00
109630.64,110829.42,108652.66,110200.0,109405.05333995578,109901.63797038146,55.856659583066474,1324.1559395064794,BTC,2025-05-27 12:00:00
110197.12,110567.26,109605.12,109938.56,109446.09231380533,109903.0858931116,53.69717741840267,1275.8871475722822,BTC,2025-05-27 16:00:00
109940.2,109968.4,108622.72,108978.46,109410.12059735878,109866.82605416604,46.57579857798328,1285.1928612293102,BTC,2025-05-27 20:00:00
108978.45,109344.89,108446.0,108911.52,109371.76670525425,109829.36307164973,46.1165756058631,1233.685813065402,BTC,2025-05-28 00:00:00
108905.66,109148.0,108664.05,108869.58,109333.13695869624,109791.72451982033,45.81180847051367,1133.7210379900146,BTC,2025-05-28 04:00:00
108869.59,109189.68,108317.5,108916.32,109301.07411571962,109757.39493080777,46.23822072821192,1098.8488995913451,BTC,2025-05-28 08:00:00
108916.33,109099.0,107050.0,107149.25,109135.5491837412,109655.11473744277,35.018690864827775,1225.5357129791657,BTC,2025-05-28 12:00:00
107149.26,107897.04,106919.02,106956.19,108967.90616960727,109549.2745516607,34.04667907309866,1192.5336179152755,BTC,2025-05-28 16:00:00
106956.94,108097.87,106790.16,107819.29,108879.55107963749,109481.43202022303,41.821456572704385,1207.8904688599046,BTC,2025-05-28 20:00:00
107819.26,108552.82,107444.0,108092.72,108819.02561197306,109426.97272531233,44.07081926524889,1194.6810730119182,BTC,2025-05-29 00:00:00
108092.72,108158.55,107000.0,107925.69,108750.30748797515,109368.09889294715,42.97768707065828,1189.8635966103295,BTC,2025-05-29 04:00:00
107925.7,108943.35,107719.16,108816.44,108755.39460428475,109346.4652108708,50.087768597891184,1194.4404503956193,BTC,2025-05-29 08:00:00
108816.43,108848.48,106473.06,107034.16,108622.9919424167,109255.78657515037,39.48023787772963,1351.90439034287,BTC,2025-05-29 12:00:00
107034.17,107200.46,105646.63,105744.47,108401.56717761542,109118.08788592879,33.88759106485628,1378.827804963821,BTC,2025-05-29 16:00:00
105740.1,106487.8,105315.0,105572.58,108183.95277933731,108979.04836099042,33.21230679028476,1351.3574309686453,BTC,2025-05-29 20:00:00
105572.58,106221.01,104624.0,106051.67,108019.9310270806,108864.24920957904,36.98163739944638,1384.111106839492,BTC,2025-05-30 00:00:00
