open,high,low,close,ema_rapida,ema_lenta,rsi,atr,Activo,Datetime
192.778,193.578,192.364,192.60201,192.77184692307696,192.77878470588237,0.0,0.6940000000000036,GBPJPY,2025-05-22 07:00:00
192.60001,192.741,192.27699,192.436,192.74601254437874,192.76534216839678,0.0,0.6633346666666701,GBPJPY,2025-05-22 11:00:00
192.429,192.571,191.888,192.018005,192.69001196404193,192.73603482845965,0.0,0.6659567111111132,GBPJPY,2025-05-22 15:00:00
192.020004,192.739,191.97501,192.547,192.679011043731,192.72862169793183,43.80594688907566,0.679027816296299,GBPJPY,2025-05-22 19:00:00
192.541,193.465,192.53,193.245,192.72254865575172,192.7488718274247,65.3652178677165,0.7131574407901261,GBPJPY,2025-05-22 23:00:00
193.242,193.58701,193.076996,193.224,192.7611218360785,192.7675043047806,64.56266487782761,0.6860716486847739,GBPJPY,2025-05-23 03:00:00
193.168,193.422,192.924,193.213,192.7958816948417,192.78497472420096,64.11857696480044,0.6609954288601361,GBPJPY,2025-05-23 07:00:00
193.21201,193.32001,192.811,192.968,192.8091215644693,192.79215218599703,55.03809354848688,0.6407307050121166,GBPJPY,2025-05-23 11:00:00
192.968,193.369,192.834,193.285,192.8457275979717,192.81147955125206,62.448332072386656,0.6266332776771674,GBPJPY,2025-05-23 15:00:00
193.282,193.571,192.061005,192.75301,192.8385954750508,192.80918662767357,48.116279344219635,0.7444148406535456,GBPJPY,2025-05-23 19:00:00
192.748,192.89999,192.297,192.85201,192.83962736158534,192.81086597560792,50.39770205166906,0.7255581952330736,GBPJPY,2025-05-23 23:00:00
192.854,193.050995,192.746,192.96001,192.84888756454035,192.8167147608782,52.834248262026136,0.6694831025353293,GBPJPY,2025-05-24 03:00:00
193.020996,193.026993,193.020996,193.026993,192.86258798265266,192.82496096633395,54.33256956417335,0.5891497555306179,GBPJPY,2025-05-24 07:00:00
193.258,193.45799,193.23399,193.327,192.89831198398707,192.84464877157578,60.40024290716077,0.5680627214598676,GBPJPY,2025-05-26 07:00:00
193.325,193.69701,193.254,193.63499,192.95497952368038,192.8756425452395,65.4721884308976,0.5513890252652206,GBPJPY,2025-05-26 11:00:00
193.636,194.037003,193.606,193.819,193.02144263724344,192.9126369552301,68.10093939479327,0.5353375552298584,GBPJPY,2025-05-26 15:00:00
193.819,193.931,193.674,193.813,193.08233166514782,192.94794530992698,67.91935919891192,0.4982258811992113,GBPJPY,2025-05-26 19:00:00
193.814,193.82001,193.55499,193.591,193.121459998598,192.97316314091026,61.39639959437407,0.4671317637059822,GBPJPY,2025-05-26 23:00:00
193.591,193.73801,193.534,193.707,193.16650153716742,193.001941056953,63.37569319638651,0.4320488618785194,GBPJPY,2025-05-27 03:00:00
193.66299,193.82201,193.187,193.244,193.17246295738533,193.0114335645235,51.93072737335607,0.45911034696138264,GBPJPY,2025-05-27 07:00:00
193.245,193.645,193.054993,193.63699,193.20819580681723,193.03596518944414,58.741419535493016,0.4765632340332002,GBPJPY,2025-05-27 11:00:00
193.63901,194.77699,193.63699,194.741,193.32610382167746,193.10282929966203,71.12052345368662,0.5650214694954422,GBPJPY,2025-05-27 15:00:00
194.739,195.46001,194.733,195.32001,193.47948122000997,193.18977756242037,75.30533418774381,0.5866199402293841,GBPJPY,2025-05-27 19:00:00
195.32001,195.62399,194.894,195.0070038,193.5969829569323,193.2610413364431,69.4467834150877,0.6057359481987978,GBPJPY,2025-05-27 23:00:00
195.0070038,195.011002,194.85699,194.862,193.6942919602452,193.32382402913163,66.85206397947825,0.5455060884389573,GBPJPY,2025-05-28 03:00:00
194.93401,195.078995,194.48599,194.785,193.7781925786879,193.38112504759704,65.45354782753627,0.5518392766470971,GBPJPY,2025-05-28 07:00:00
194.783,195.396,194.472,194.565,193.83871622648115,193.42755151631872,61.495229372609444,0.6014607064274813,GBPJPY,2025-05-28 11:00:00
194.57201,194.881,194.37399,194.58501,193.89612343982878,193.47294204509052,61.72197356302592,0.5888672789038182,GBPJPY,2025-05-28 15:00:00
194.58,194.895,194.46899,194.64799,193.95395932907272,193.51902235704776,62.471053646814966,0.5671529750499784,GBPJPY,2025-05-28 19:00:00
194.649,195.36,194.642,195.26601,194.05488630375945,193.58753167637923,68.90225573778753,0.5872659117099837,GBPJPY,2025-05-28 23:00:00
195.269,195.30499,194.97099,195.052994,194.1316638188549,193.64500078710947,64.78155091998565,0.5534971234819863,GBPJPY,2025-05-29 03:00:00
194.94501,196.187,194.866,196.18201,194.2893827558661,193.74449134447772,73.74419204520414,0.6558308403510545,GBPJPY,2025-05-29 07:00:00
196.18201,196.299,195.715,195.87399,194.41127562079947,193.82800109567467,68.61390769009984,0.6462533949709144,GBPJPY,2025-05-29 11:00:00
195.87601,196.173,195.44701,195.53,194.49733134227645,193.89474615074624,63.316289483517046,0.6568849423081253,GBPJPY,2025-05-29 15:00:00
195.533,195.66701,194.888,195.0050049,194.53638315440904,193.9382857095405,56.18623936072773,0.6731682833337086,GBPJPY,2025-05-29 19:00:00
194.996,195.065994,194.286,194.493,194.5330459886853,193.96003921112717,50.243819613681815,0.6874117122225458,GBPJPY,2025-05-29 23:00:00
194.492,194.591,194.356,194.547,194.53411937417104,193.98305728127903,50.834426888564806,0.6270901505928749,GBPJPY,2025-05-30 03:00:00
194.536,194.554,193.855,194.041,194.49618711461943,193.9853295447583,45.396698974611255,0.6366781305138265,GBPJPY,2025-05-30 07:00:00
194.035004,194.076004,193.62199,193.67799,194.4332488750333,193.97327701359131,41.931319299395184,0.6123229131119831,GBPJPY,2025-05-30 11:00:00
193.68201,194.213,193.675,193.972,194.39776819233848,193.97322693462698,45.556274016199666,0.6024131913637163,GBPJPY,2025-05-30 15:00:00
193.972,194.183,193.383,193.91901,194.36094063908166,193.9711007803279,45.01089952651662,0.6287580991818852,GBPJPY,2025-05-30 19:00:00
193.914,194.661,193.63499,193.688,194.30917597453694,193.9599987889425,42.61572038312518,0.681725019290969,GBPJPY,2025-05-30 23:00:00
193.696,193.961,193.666,193.78,194.2684701303418,193.95294001290554,43.89614709848536,0.6301616833855086,GBPJPY,2025-05-31 03:00:00
193.82899,193.82899,193.82899,193.82899,194.23466396646936,193.94807922808573,44.604968629274865,0.5526721256007746,GBPJPY,2025-05-31 07:00:00
193.67,193.8,193.588,193.60899,194.18653519981785,193.93478161129806,42.03651994289821,0.5111145088540061,GBPJPY,2025-06-02 07:00:00
193.61,193.76401,193.48599,193.604,194.14172479983188,193.92180978340403,41.97747719823459,0.48003524100680883,GBPJPY,2025-06-02 11:00:00
193.61099,193.897,193.433,193.56799,194.097591353691,193.90793449778036,41.524216061058326,0.4778972088725675,GBPJPY,2025-06-02 15:00:00
